user_id,metric
1,0.0
2,19.05
3,0.0
4,0.0
5,0.0
6,25.76
7,50.29
8,66.33
9,0.0
10,74.95
11,0.0
12,0.0
13,3.85
14,0.0
15,113.17
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,77.52
22,0.0
23,27.34
24,0.0
25,82.0
26,4.89
27,0.0
28,137.68
29,59.66
30,125.38
31,0.0
32,15.34
33,0.0
34,50.97
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,39.88
41,21.38
42,52.04
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,96.12
50,19.32
51,0.0
52,0.0
53,0.0
54,62.57
55,32.62
56,0.0
57,0.0
58,0.0
59,84.87
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,46.07
66,0.0
67,0.0
68,0.0
69,111.6
70,58.21
71,161.31
72,42.29
73,0.0
74,0.0
75,0.0
76,70.45
77,0.0
78,0.0
79,0.0
80,33.83
81,0.0
82,0.0
83,0.0
84,0.0
85,94.53
86,0.0
87,17.22
88,0.0
89,102.79
90,68.68
91,30.88
92,27.99
93,0.0
94,8.96
95,0.0
96,46.58
97,0.0
98,0.0
99,115.01
100,0.0
101,66.25
102,0.0
103,12.18
104,32.05
105,0.0
106,0.0
107,50.07
108,0.0
109,44.21
110,0.0
111,24.37
112,0.0
113,0.0
114,37.82
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,38.34
121,0.0
122,0.0
123,0.0
124,3.69
125,16.37
126,0.0
127,0.0
128,64.04
129,0.0
130,0.0
131,38.25
132,0.0
133,38.44
134,60.71
135,21.01
136,0.0
137,0.0
138,0.0
139,30.08
140,43.02
141,21.13
142,24.2
143,40.6
144,21.88
145,0.0
146,0.0
147,17.79
148,0.0
149,40.76
150,0.0
151,0.0
152,0.0
153,92.44
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,36.86
164,34.78
165,0.0
166,7.84
167,43.52
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,31.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,32.58
181,0.0
182,11.2
183,0.0
184,20.36
185,46.93
186,0.0
187,0.0
188,63.02
189,19.32
190,11.09
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,58.33
200,29.1
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,113.1
207,0.0
208,8.15
209,67.57
210,0.0
211,0.0
212,0.0
213,0.0
214,44.25
215,0.0
216,0.0
217,78.79
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,19.75
232,43.37
233,0.0
234,0.0
235,0.0
236,2.83
237,0.0
238,0.0
239,50.83
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,32.97
246,17.48
247,8.29
248,0.0
249,0.0
250,15.07
251,0.0
252,35.72
253,26.04
254,48.11
255,0.0
256,79.35
257,134.39
258,0.0
259,0.0
260,0.0
261,45.78
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,61.42
275,0.0
276,0.0
277,0.0
278,21.51
279,0.0
280,60.24
281,0.0
282,0.0
283,15.57
284,59.91
285,0.0
286,36.19
287,29.5
288,77.2
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,45.67
298,0.0
299,10.47
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,40.34
308,0.0
309,34.55
310,0.0
311,0.0
312,0.0
313,85.82
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,40.1
320,0.0
321,0.0
322,25.99
323,19.61
324,16.85
325,0.0
326,20.06
327,0.0
328,0.0
329,0.0
330,39.43
331,22.89
332,48.15
333,0.0
334,65.73
335,0.0
336,0.0
337,0.0
338,40.01
339,0.0
340,22.96
341,0.0
342,0.0
343,0.0
344,57.65
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,14.72
352,0.0
353,37.07
354,0.0
355,0.0
356,18.91
357,63.42
358,0.0
359,0.0
360,0.0
361,0.0
362,44.5
363,63.67
364,0.0
365,293.53
366,0.0
367,0.0
368,0.0
369,0.0
370,11.74
371,0.0
372,33.26
373,12.89
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,4.55
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,20.0
386,0.0
387,60.16
388,0.0
389,0.0
390,64.05
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,47.15
397,32.54
398,28.96
399,37.07
400,0.0
401,81.08
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,8.01
409,0.0
410,98.77
411,16.0
412,27.33
413,0.0
414,164.81
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,38.39
424,0.0
425,0.0
426,0.0
427,13.0
428,0.0
429,0.0
430,48.16
431,0.0
432,0.0
433,42.64
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,67.92
441,0.0
442,0.0
443,0.0
444,0.0
445,66.85
446,0.0
447,0.0
448,0.0
449,0.0
450,68.28
451,46.78
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,76.46
458,33.63
459,91.23
460,0.0
461,0.0
462,13.47
463,0.0
464,0.0
465,0.0
466,0.0
467,20.23
468,0.0
469,0.0
470,0.0
471,60.0
472,7.36
473,0.0
474,15.19
475,0.0
476,17.86
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,7.39
483,0.0
484,0.0
485,37.44
486,0.0
487,46.62
488,0.0
489,0.0
490,0.0
491,0.0
492,30.09
493,0.0
494,37.78
495,75.05
496,0.0
497,0.0
498,0.0
499,80.31
500,0.0
501,0.0
502,0.0
503,25.7
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,21.22
515,25.18
516,0.0
517,58.67
518,53.11
519,0.0
520,10.38
521,4.82
522,0.0
523,0.0
524,186.53
525,0.0
526,0.0
527,0.0
528,0.0
529,83.89
530,0.0
531,0.0
532,0.0
